sct;year;capitaux_propres;passifs_non_courant;total_bilan;stock;creance_client;actif_immobilier;resultat_net;chiffre_d_affaires
CEGEDIM;12.17;197346.0;250830.0;746223.0;3645.0;118170.0;179022.0;11160.0;457441.0
CEGEDIM;12.18;198957.0;185845.0;648108.0;2671.0;97278.0;190124.0;5826.0;467688.0
CEGEDIM;12.19;201247.0;248107.0;808613.0;4434.0;143986.0;256704.0;2691.0;503745.0
CGG;12.17;4202958.0;2062350.0;7626997.0;383693.0;813425.0;1917000.0;83658.0;3121624.0
CGG;12.18;3560601.0;2284676.0;7562926.0;462408.0;903765.0;2589744.0;-632654.0;3446830.0
CGG;12.19;2513592.0;2471580.0;6462921.0;381953.0;862668.0;2390758.0;-1049481.0;2833214.0
CGG;12.17;501253.0;49641.0;4047420.0;227135.0;496032.0;1407133.0;-487965.0;1252895.0
CGG;12.18;1397576.0;959127.0;3253051.0;170972.0;434274.0;908370.0;-79976.0;996360.0
CGG;12.19;1405328.0;1107371.0;3508161.0;174945.0;381189.0;713155.0;-53769.0;1185445.0
CHARGEURS;12.17;229900.0;179300.0;647100.0;107300.0;100800.0;65300.0;25200.0;533000.0
CHARGEURS;12.18;237200.0;169100.0;626100.0;128400.0;72400.0;112000.0;26600.0;573300.0
CHARGEURS;12.19;232400.0;210800.0;664000.0;126100.0;73500.0;150300.0;15100.0;626200.0
CHRISTIAN DIOR;12.17;32733000.0;7893000.0;72762000.0;10908000.0;2737000.0;28531000.0;5753000.0;43666000.0
CHRISTIAN DIOR;12.18;36372000.0;6353000.0;77271000.0;12485000.0;3222000.0;30234000.0;6942000.0;46826000.0
CHRISTIAN DIOR;12.19;35717000.0;15823000.0;93830000.0;13717000.0;3450000.0;33891000.0;7810000.0;53670000.0
