,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
172,STB,2017,461043000.0,8621966000.0,9089384000.0,0.0,6077211000.0,140151000.0,25013000.0,52611887.152
173,STB,2018,911052000.0,9660424000.0,10641551000.0,0.0,7073697000.0,149120000.0,73914000.0,218483698.462
174,STB,2019,1082745000.0,10317012000.0,11406843000.0,0.0,7974170000.0,148427000.0,178674000.0,179848538.580513
175,STEQ,2017,15117354.0,1715816.0,62057633.0,8451829.0,6877271.0,37583126.0,2415855.0,10079532.260022
176,STEQ,2018,16148350.0,3191285.0,60333628.0,7563233.0,5036861.0,37274695.0,1031769.0,12338721.188155
177,STEQ,2019,18353364.0,3225184.0,62036876.0,8626388.0,7820880.0,36243371.0,2199644.0,17938306.695267998
178,STIP,2019,-237545399.2,26676116.25,71111883.56,23040085.26,49196916.88,11274761.56,4333535.997,4356989.753788
179,TAWASOL GROUP HOLDING,2017,49497829.0,32258541.0,230593676.0,56280108.0,71212661.0,53469771.0,-754237.0,31346093.68
180,TAWASOL GROUP HOLDING,2018,114986040.0,26809082.0,219255784.0,60252680.0,48853043.0,52593666.0,-5377771.0,20874433.56841
181,TAWASOL GROUP HOLDING,2019,114546124.0,5166411.0,144429572.0,0.0,497403.0,114127042.0,-439915.0,1704855.165648
182,TELNET HOLDING,2018,33387041.68,2758591.315,52571395.35,840794.621,17258868.74,15825531.32,9450591.354,19148901.880223
183,TELNET HOLDING,2019,28919209.65,2563074.343,49517880.27,589167.245,17299776.39,16244884.15,4378526.835,4870115.45836
184,TPR,2017,100637280.0,26977011.0,208798850.0,56261925.0,46509035.0,58879562.0,15028339.0,15595851.049484
185,TPR,2018,109892053.0,24669732.0,240400182.0,79028297.0,37090260.0,63233299.0,19808983.0,21837368.773392
186,TPR,2019,122015966.0,5497021.0,194103824.0,57560464.0,57044774.0,38752438.0,20843764.0,61427636.206
187,TUNINVEST-SICAR,2017,5244948.0,1753054.0,7536420.0,0.0,0.0,4347976.0,274987.0,2367731.550665
188,TUNINVEST-SICAR,2018,5201825.0,1753054.0,7279132.0,0.0,0.0,4327976.0,439877.0,7861050.8905
189,TUNINVEST-SICAR,2019,4997816.0,1753054.0,7101264.0,0.0,0.0,4307976.0,278991.0,82530693.6238
190,TUNIS RE,2017,583477831.0,153329099.0,583477831.0,0.0,54818477.0,348223507.0,12285742.0,12473302.527357
191,TUNIS RE,2018,200178199.0,314986262.0,700177459.0,0.0,75784337.0,383436426.0,17102916.0,143913445.714
192,TUNIS RE,2019,200496130.0,342713195.0,739909005.0,0.0,76845683.0,399234575.0,11654742.0,14001445.312407
193,TUNISAIR,2017,-432367000.0,1024273000.0,2045945000.0,81802000.0,83958000.0,1321233000.0,-236963000.0,258432259.0722
194,TUNISIE LEASING ET FACTORING,2017,327166055.0,1571648565.0,2289851225.0,0.0,1809691881.0,94774330.0,11867017.0,12156335.180502
